ticker,company_name,region,exchange,sector,market_cap
III.L,3i,Europe,LSE,Financial services,
ABDN.L,Aberdeen Group,Europe,LSE,Financial Services,
ADM.L,Admiral Group,Europe,LSE,Insurance,
AAF.L,Airtel Africa,Europe,LSE,Telecommunications services,
ALW.L,Alliance Witan,Europe,LSE,Investment Trusts,
AAL.L,Anglo American plc,Europe,LSE,Mining,
ANTO.L,Antofagasta plc,Europe,LSE,Mining,
ABF.L,Associated British Foods,Europe,LSE,Food & tobacco,
AZN.L,AstraZeneca,Europe,LSE,Pharmaceuticals & biotechnology,
AUTO.L,Autotrader Group,Europe,LSE,Media,
AV.L,Aviva,Europe,LSE,Life insurance,
BAB.L,Babcock International,Europe,LSE,Aerospace & defence,
BA.L,BAE Systems,Europe,LSE,Aerospace & defence,
BARC.L,Barclays,Europe,LSE,Banks,
BTRW.L,Barratt Redrow,Europe,LSE,Household goods & home construction,
BEZ.L,Beazley,Europe,LSE,Insurance,
BP.L,BP,Europe,LSE,Oil & gas producers,
BATS.L,British American Tobacco,Europe,LSE,Tobacco,
BLND.L,British Land,Europe,LSE,Real estate,
BT-A.L,BT Group,Europe,LSE,Telecommunications services,
BNZL.L,Bunzl,Europe,LSE,Support services,
BRBY.L,Burberry Group,Europe,LSE,Personal goods,
CNA.L,Centrica,Europe,LSE,Multiline utilities,
CCEP.L,Coca-Cola Europacific Partners,Europe,LSE,Beverages,
CCH.L,Coca-Cola HBC,Europe,LSE,Beverages,
CPG.L,Compass Group,Europe,LSE,Support services,
CCC.L,Computacenter,Europe,LSE,Software & Computer Services,
CTEC.L,Convatec,Europe,LSE,Health care equipment & supplies,
CRDA.L,Croda International,Europe,LSE,Chemicals,
DCC.L,DCC plc,Europe,LSE,Support services,
DGE.L,Diageo,Europe,LSE,Beverages,
DPLM.L,Diploma,Europe,LSE,Industrial Support services,
EDV.L,Endeavour Mining,Europe,LSE,Mining,
ENT.L,Entain,Europe,LSE,Travel & leisure,
EXPN.L,Experian,Europe,LSE,Support services,
FCIT.L,F & C Investment Trust,Europe,LSE,Collective investments,
FRES.L,Fresnillo plc,Europe,LSE,Mining,
GAW.L,Games Workshop,Europe,LSE,Leisure Goods,
GLEN.L,Glencore,Europe,LSE,Mining,
GSK.L,GSK plc,Europe,LSE,Pharmaceuticals & biotechnology,
HLN.L,Haleon,Europe,LSE,Pharmaceuticals & biotechnology,
HLMA.L,Halma plc,Europe,LSE,Electronic equipment & parts,
HSX.L,Hiscox,Europe,LSE,Non-life Insurance,
HWDN.L,Howdens Joinery,Europe,LSE,Homebuilding & construction supplies,
HSBA.L,HSBC,Europe,LSE,Banks,
ICG.L,ICG,Europe,LSE,Financial services,
IGG.L,IG Group,Europe,LSE,Financial services,
IHG.L,IHG Hotels & Resorts,Europe,LSE,Travel & leisure,
IMI.L,IMI,Europe,LSE,Industrial engineering,
IMB.L,Imperial Brands,Europe,LSE,Tobacco,
INF.L,Informa,Europe,LSE,Media,
IAG.L,International Airlines Group,Europe,LSE,Travel & leisure,
ITRK.L,Intertek,Europe,LSE,Support services,
INVP.L,Investec,Europe,LSE,Financial Services,
JD.L,JD Sports,Europe,LSE,General retailers,
BGEO.L,Lion Finance Group,Europe,LSE,Banking Services,
KGF.L,Kingfisher plc,Europe,LSE,Retailers,
LAND.L,Land Securities,Europe,LSE,Real estate investment trusts,
LGEN.L,Legal & General,Europe,LSE,Life insurance,
LLOY.L,Lloyds Banking Group,Europe,LSE,Banks,
