ticker,company_name,region,exchange,sector,market_cap
1155.KL,Malayan Banking Berhad,Malaysia,Bursa Malaysia,Unknown,
1295.KL,PBBank (Public Bank Bhd),Malaysia,Bursa Malaysia,Unknown,
5347.KL,Tenaga Nasional Berhad,Malaysia,Bursa Malaysia,Unknown,
1023.KL,CIMB Group,Malaysia,Bursa Malaysia,Unknown,
5225.KL,IHH Healthcare Berhad,Malaysia,Bursa Malaysia,Unknown,
8869.KL,PMetal (Press Metal Aluminium),Malaysia,Bursa Malaysia,Unknown,
5819.KL,(HLBank) Hong Leong Bank,Malaysia,Bursa Malaysia,Unknown,
5285.KL,Sime Darby Plantation,Malaysia,Bursa Malaysia,Unknown,
6742.KL,YTL Power International,Malaysia,Bursa Malaysia,Unknown,
3816.KL,MISC Berhad,Malaysia,Bursa Malaysia,Unknown,
5211.KL,Sunway,Malaysia,Bursa Malaysia,Unknown,
6033.KL,PetGas (Petronas Gas),Malaysia,Bursa Malaysia,Unknown,
6947.KL,Celcomdigi,Malaysia,Bursa Malaysia,Unknown,
5183.KL,PChem (Petronas Chemicals Group),Malaysia,Bursa Malaysia,Unknown,
5326.KL,99 Speed Mart Retail,Malaysia,Bursa Malaysia,Unknown,
4863.KL,Telekom Malaysia,Malaysia,Bursa Malaysia,Unknown,
1961.KL,IOI Corporation Berhad,Malaysia,Bursa Malaysia,Unknown,
6012.KL,Maxis Berhad,Malaysia,Bursa Malaysia,Unknown,
5398.KL,Gamuda Berhad,Malaysia,Bursa Malaysia,Unknown,
2445.KL,Kuala Lumpur Kepong,Malaysia,Bursa Malaysia,Unknown,
4677.KL,YTL Corporation Berhad,Malaysia,Bursa Malaysia,Unknown,
4707.KL,Nestle Malaysia,Malaysia,Bursa Malaysia,Unknown,
1082.KL,Hong Leong Financial Group,Malaysia,Bursa Malaysia,Unknown,
5246.KL,Westports,Malaysia,Bursa Malaysia,Unknown,
6888.KL,Axiata Group,Malaysia,Bursa Malaysia,Unknown,
