ticker,company_name,region,exchange,sector,market_cap
AAPL,Apple Inc.,US,NYSE/NASDAQ,Information Technology,
ABBV,AbbVie,US,NYSE/NASDAQ,Health Care,
ABT,Abbott Laboratories,US,NYSE/NASDAQ,Health Care,
ACN,Accenture,US,NYSE/NASDAQ,Information Technology,
ADBE,Adobe Inc.,US,NYSE/NASDAQ,Information Technology,
AMAT,Applied Materials,US,NYSE/NASDAQ,Information Technology,
AMD,Advanced Micro Devices,US,NYSE/NASDAQ,Information Technology,
AMGN,Amgen,US,NYSE/NASDAQ,Health Care,
AMT,American Tower,US,NYSE/NASDAQ,Real Estate,
AMZN,Amazon,US,NYSE/NASDAQ,Consumer Discretionary,
AVGO,Broadcom,US,NYSE/NASDAQ,Information Technology,
AXP,American Express,US,NYSE/NASDAQ,Financials,
BA,Boeing,US,NYSE/NASDAQ,Industrials,
BAC,Bank of America,US,NYSE/NASDAQ,Financials,
BKNG,Booking Holdings,US,NYSE/NASDAQ,Consumer Discretionary,
BLK,BlackRock,US,NYSE/NASDAQ,Financials,
BMY,Bristol Myers Squibb,US,NYSE/NASDAQ,Health Care,
BNY,BNY Mellon,US,NYSE/NASDAQ,Financials,
BRK-B,Berkshire Hathaway (Class B),US,NYSE/NASDAQ,Financials,
C,Citigroup,US,NYSE/NASDAQ,Financials,
CAT,Caterpillar Inc.,US,NYSE/NASDAQ,Industrials,
CL,Colgate-Palmolive,US,NYSE/NASDAQ,Consumer Staples,
CMCSA,Comcast,US,NYSE/NASDAQ,Communication Services,
COF,Capital One,US,NYSE/NASDAQ,Financials,
COP,ConocoPhillips,US,NYSE/NASDAQ,Energy,
COST,Costco,US,NYSE/NASDAQ,Consumer Staples,
CRM,Salesforce,US,NYSE/NASDAQ,Information Technology,
CSCO,Cisco,US,NYSE/NASDAQ,Information Technology,
CVS,CVS Health,US,NYSE/NASDAQ,Health Care,
CVX,Chevron Corporation,US,NYSE/NASDAQ,Energy,
DE,Deere & Company,US,NYSE/NASDAQ,Industrials,
DHR,Danaher Corporation,US,NYSE/NASDAQ,Health Care,
DIS,Walt Disney Company (The),US,NYSE/NASDAQ,Communication Services,
DUK,Duke Energy,US,NYSE/NASDAQ,Utilities,
EMR,Emerson Electric,US,NYSE/NASDAQ,Industrials,
FDX,FedEx,US,NYSE/NASDAQ,Industrials,
GD,General Dynamics,US,NYSE/NASDAQ,Industrials,
GE,GE Aerospace,US,NYSE/NASDAQ,Industrials,
GEV,GE Vernova,US,NYSE/NASDAQ,Industrials,
GILD,Gilead Sciences,US,NYSE/NASDAQ,Health Care,
GM,General Motors,US,NYSE/NASDAQ,Consumer Discretionary,
GOOG,Alphabet Inc. (Class C),US,NYSE/NASDAQ,Communication Services,
GOOGL,Alphabet Inc. (Class A),US,NYSE/NASDAQ,Communication Services,
GS,Goldman Sachs,US,NYSE/NASDAQ,Financials,
HD,Home Depot,US,NYSE/NASDAQ,Consumer Discretionary,
HON,Honeywell,US,NYSE/NASDAQ,Industrials,
IBM,IBM,US,NYSE/NASDAQ,Information Technology,
INTC,Intel,US,NYSE/NASDAQ,Information Technology,
INTU,Intuit,US,NYSE/NASDAQ,Information Technology,
ISRG,Intuitive Surgical,US,NYSE/NASDAQ,Health Care,
JNJ,Johnson & Johnson,US,NYSE/NASDAQ,Health Care,
JPM,JPMorgan Chase,US,NYSE/NASDAQ,Financials,
KO,Coca-Cola Company (The),US,NYSE/NASDAQ,Consumer Staples,
LIN,Linde plc,US,NYSE/NASDAQ,Materials,
LLY,Eli Lilly and Company,US,NYSE/NASDAQ,Health Care,
LMT,Lockheed Martin,US,NYSE/NASDAQ,Industrials,
LOW,Lowe's,US,NYSE/NASDAQ,Consumer Discretionary,
LRCX,Lam Research,US,NYSE/NASDAQ,Information Technology,
MA,Mastercard,US,NYSE/NASDAQ,Financials,
MCD,McDonald's,US,NYSE/NASDAQ,Consumer Discretionary,
MDLZ,Mondelēz International,US,NYSE/NASDAQ,Consumer Staples,
MDT,Medtronic,US,NYSE/NASDAQ,Health Care,
META,Meta Platforms,US,NYSE/NASDAQ,Communication Services,
MMM,3M,US,NYSE/NASDAQ,Industrials,
MO,Altria,US,NYSE/NASDAQ,Consumer Staples,
MRK,Merck & Co.,US,NYSE/NASDAQ,Health Care,
MS,Morgan Stanley,US,NYSE/NASDAQ,Financials,
MSFT,Microsoft,US,NYSE/NASDAQ,Information Technology,
MU,Micron Technology,US,NYSE/NASDAQ,Information Technology,
NEE,NextEra Energy,US,NYSE/NASDAQ,Utilities,
NFLX,"Netflix, Inc.",US,NYSE/NASDAQ,Communication Services,
NKE,"Nike, Inc.",US,NYSE/NASDAQ,Consumer Discretionary,
NOW,ServiceNow,US,NYSE/NASDAQ,Information Technology,
NVDA,Nvidia,US,NYSE/NASDAQ,Information Technology,
ORCL,Oracle Corporation,US,NYSE/NASDAQ,Information Technology,
PEP,PepsiCo,US,NYSE/NASDAQ,Consumer Staples,
PFE,Pfizer,US,NYSE/NASDAQ,Health Care,
PG,Procter & Gamble,US,NYSE/NASDAQ,Consumer Staples,
PLTR,Palantir Technologies,US,NYSE/NASDAQ,Information Technology,
PM,Philip Morris International,US,NYSE/NASDAQ,Consumer Staples,
QCOM,Qualcomm,US,NYSE/NASDAQ,Information Technology,
RTX,RTX Corporation,US,NYSE/NASDAQ,Industrials,
SBUX,Starbucks,US,NYSE/NASDAQ,Consumer Discretionary,
SCHW,Charles Schwab Corporation,US,NYSE/NASDAQ,Financials,
SO,Southern Company,US,NYSE/NASDAQ,Utilities,
SPG,Simon Property Group,US,NYSE/NASDAQ,Real Estate,
T,AT&T,US,NYSE/NASDAQ,Communication Services,
TMO,Thermo Fisher Scientific,US,NYSE/NASDAQ,Health Care,
TMUS,T-Mobile US,US,NYSE/NASDAQ,Communication Services,
TSLA,"Tesla, Inc.",US,NYSE/NASDAQ,Consumer Discretionary,
TXN,Texas Instruments,US,NYSE/NASDAQ,Information Technology,
UBER,Uber,US,NYSE/NASDAQ,Industrials,
UNH,UnitedHealth Group,US,NYSE/NASDAQ,Health Care,
UNP,Union Pacific Corporation,US,NYSE/NASDAQ,Industrials,
UPS,United Parcel Service,US,NYSE/NASDAQ,Industrials,
USB,U.S. Bancorp,US,NYSE/NASDAQ,Financials,
V,Visa Inc.,US,NYSE/NASDAQ,Financials,
VZ,Verizon,US,NYSE/NASDAQ,Communication Services,
WFC,Wells Fargo,US,NYSE/NASDAQ,Financials,
WMT,Walmart,US,NYSE/NASDAQ,Consumer Staples,
